gpu,dtype,op,world_size,size_bytes,time_us
B200-SXM-192GB,bfloat16,allreduce,8,1024,27.21717464737594
B200-SXM-192GB,bfloat16,allreduce,8,16384,27.804751880466938
B200-SXM-192GB,bfloat16,allreduce,8,65536,27.76153269223869
B200-SXM-192GB,bfloat16,allreduce,8,262144,27.824309654533863
B200-SXM-192GB,bfloat16,allreduce,8,1048576,48.92307333648205
B200-SXM-192GB,bfloat16,allreduce,8,1572864,53.95146758675226
B200-SXM-192GB,bfloat16,allreduce,8,2097152,32.30944275856018
B200-SXM-192GB,bfloat16,allreduce,8,3145728,70.22510875355114
B200-SXM-192GB,bfloat16,allreduce,8,4194304,52.95872688293457
B200-SXM-192GB,bfloat16,allreduce,8,6291456,58.67901970358456
B200-SXM-192GB,bfloat16,allreduce,8,8388608,70.68179547786713
B200-SXM-192GB,bfloat16,allreduce,8,12582912,83.05100833668428
B200-SXM-192GB,bfloat16,allreduce,8,16777216,97.14439511299133
B200-SXM-192GB,bfloat16,allreduce,8,25165824,498.16426776704327
B200-SXM-192GB,bfloat16,allreduce,8,33554432,213.97322416305542
B200-SXM-192GB,bfloat16,allreduce,8,67108864,277.5341272354126
B200-SXM-192GB,bfloat16,allreduce,8,134217728,399.2319107055664
B200-SXM-192GB,bfloat16,allreduce,8,268435456,713.6821746826172
B200-SXM-192GB,bfloat16,allreduce,8,536870912,1341.557502746582
B200-SXM-192GB,bfloat16,allreduce,8,1073741824,2593.684196472168
B200-SXM-192GB,bfloat16,alltoall,8,1024,46.02069384418428
B200-SXM-192GB,bfloat16,alltoall,8,16384,45.510707423090935
B200-SXM-192GB,bfloat16,alltoall,8,65536,48.475165385752916
B200-SXM-192GB,bfloat16,alltoall,8,262144,44.242595322430134
B200-SXM-192GB,bfloat16,alltoall,8,1048576,71.11858576536179
B200-SXM-192GB,bfloat16,alltoall,8,1572864,49.24287544317609
B200-SXM-192GB,bfloat16,alltoall,8,2097152,63.07195872068405
B200-SXM-192GB,bfloat16,alltoall,8,3145728,39.46701452529325
B200-SXM-192GB,bfloat16,alltoall,8,4194304,39.52346742153168
B200-SXM-192GB,bfloat16,alltoall,8,6291456,39.66583925134996
B200-SXM-192GB,bfloat16,alltoall,8,8388608,107.64598846435547
B200-SXM-192GB,bfloat16,alltoall,8,12582912,134.11465813131892
B200-SXM-192GB,bfloat16,alltoall,8,16777216,52.113085985183716
B200-SXM-192GB,bfloat16,alltoall,8,25165824,70.46404339018322
B200-SXM-192GB,bfloat16,alltoall,8,33554432,246.97929620742798
B200-SXM-192GB,bfloat16,alltoall,8,67108864,1115.5903339385986
B200-SXM-192GB,bfloat16,alltoall,8,134217728,1118.7314987182617
B200-SXM-192GB,bfloat16,alltoall,8,268435456,2524.5189666748047
B200-SXM-192GB,bfloat16,alltoall,8,536870912,846.8151092529297
B200-SXM-192GB,bfloat16,alltoall,8,1073741824,1563.119888305664
B200-SXM-192GB,bfloat16,allgather,8,1024,21.494663087651134
B200-SXM-192GB,bfloat16,allgather,8,16384,23.117609089240432
B200-SXM-192GB,bfloat16,allgather,8,65536,24.142704205587506
B200-SXM-192GB,bfloat16,allgather,8,262144,25.98168794065714
B200-SXM-192GB,bfloat16,allgather,8,1048576,54.24884147942066
B200-SXM-192GB,bfloat16,allgather,8,1572864,40.9782806799209
B200-SXM-192GB,bfloat16,allgather,8,2097152,34.152064472436905
B200-SXM-192GB,bfloat16,allgather,8,3145728,25.04723512532075
B200-SXM-192GB,bfloat16,allgather,8,4194304,28.905458748340607
B200-SXM-192GB,bfloat16,allgather,8,6291456,36.12462212057675
B200-SXM-192GB,bfloat16,allgather,8,8388608,43.87088119983673
B200-SXM-192GB,bfloat16,allgather,8,12582912,44.23365873448989
B200-SXM-192GB,bfloat16,allgather,8,16777216,49.248337745666504
B200-SXM-192GB,bfloat16,allgather,8,25165824,270.2417827787853
B200-SXM-192GB,bfloat16,allgather,8,33554432,515.6099796295166
B200-SXM-192GB,bfloat16,allgather,8,67108864,190.3623342514038
B200-SXM-192GB,bfloat16,allgather,8,134217728,281.4054489135742
B200-SXM-192GB,bfloat16,allgather,8,268435456,426.7692565917969
B200-SXM-192GB,bfloat16,allgather,8,536870912,845.1461791992188
B200-SXM-192GB,bfloat16,allgather,8,1073741824,1680.5410385131836
B200-SXM-192GB,bfloat16,reducescatter,8,1024,22.51466503366828
B200-SXM-192GB,bfloat16,reducescatter,8,16384,22.275111405178905
B200-SXM-192GB,bfloat16,reducescatter,8,65536,24.87920573912561
B200-SXM-192GB,bfloat16,reducescatter,8,262144,22.60832116007805
B200-SXM-192GB,bfloat16,reducescatter,8,1048576,52.853720262646675
B200-SXM-192GB,bfloat16,reducescatter,8,1572864,20.784366864962312
B200-SXM-192GB,bfloat16,reducescatter,8,2097152,20.343810319900513
B200-SXM-192GB,bfloat16,reducescatter,8,3145728,23.695730393932713
B200-SXM-192GB,bfloat16,reducescatter,8,4194304,27.208589017391205
B200-SXM-192GB,bfloat16,reducescatter,8,6291456,35.274730009191174
B200-SXM-192GB,bfloat16,reducescatter,8,8388608,43.61942410469055
B200-SXM-192GB,bfloat16,reducescatter,8,12582912,47.964208266314344
B200-SXM-192GB,bfloat16,reducescatter,8,16777216,362.67563700675964
B200-SXM-192GB,bfloat16,reducescatter,8,25165824,202.224368140811
B200-SXM-192GB,bfloat16,reducescatter,8,33554432,86.57574653625488
B200-SXM-192GB,bfloat16,reducescatter,8,67108864,138.43178749084473
B200-SXM-192GB,bfloat16,reducescatter,8,134217728,641.4175033569336
B200-SXM-192GB,bfloat16,reducescatter,8,268435456,426.29241943359375
B200-SXM-192GB,bfloat16,reducescatter,8,536870912,823.664665222168
B200-SXM-192GB,bfloat16,reducescatter,8,1073741824,1532.7930450439453
